"year"	"mfr"	"nameplate"	"hp"	"torque"	"mpg"	"fuel"	"curbwt"	"d_truck"	"d_super"	"d_turbo"	"d_diesel"	"d_manual"	"outlier"	"accel"	"lmpg"	"lcurbwt"	"lhp"	"ltorque"	"lhp2"	"lcurbwt2"	"ltorque2"	"lcurbwt_lhp"	"lcurbwt_ltorque"	"lhp_ltorque"	"base"	"rgasp"	"cafe_car"	"cafe_tr"	"time_d_manual"
"49"	2003	"HONDA"	"ACCORD"	160	279	34	"G"	3053	0	0	0	0	1	0	9.50378799438477	3.52636051177979	8.02388000488281	5.07517385482788	5.63121175765991	25.7573890686035	64.3826522827148	31.7105464935303	40.7225875854492	45.1841659545898	28.5793781280518	1	0	0	0	24
"50"	2004	"HONDA"	"ACCORD"	160	279	33.7999992370605	"G"	3053	0	0	0	0	1	0	9.50378799438477	3.52046084403992	8.02388000488281	5.07517385482788	5.63121175765991	25.7573890686035	64.3826522827148	31.7105464935303	40.7225875854492	45.1841659545898	28.5793781280518	1	0	0	0	25
"51"	2005	"HONDA"	"ACCORD"	160	279	34.0999984741211	"G"	3053	0	0	0	0	1	0	9.50378799438477	3.52929735183716	8.02388000488281	5.07517385482788	5.63121175765991	25.7573890686035	64.3826522827148	31.7105464935303	40.7225875854492	45.1841659545898	28.5793781280518	1	0	0	0	26
"52"	2006	"HONDA"	"ACCORD"	166	217	33.9000015258789	"G"	3163	0	0	0	0	1	0	9.49335193634033	3.52341508865356	8.05927658081055	5.11198759078979	5.37989711761475	26.132417678833	64.9519424438477	28.9432926177979	41.1989212036133	43.3580780029297	27.5019664764404	1	0	0	0	27
"53"	1980	"TOYOTA"	"COROLLA"	75	128.800003051758	30.2000007629395	"G"	2140	0	0	0	0	1	0	12.9814929962158	3.40784192085266	7.66856098175049	4.31748819351196	4.85826063156128	18.6407051086426	58.806827545166	23.6026954650879	33.1089210510254	37.2558670043945	20.9754829406738	1	0	0	0	1
"54"	1981	"TOYOTA"	"COROLLA"	75	128.800003051758	33.4000015258789	"G"	2240	0	0	0	0	1	0	13.4491930007935	3.50855588912964	7.71423101425171	4.31748819351196	4.85826063156128	18.6407051086426	59.5093612670898	23.6026954650879	33.3061027526855	37.4777450561523	20.9754829406738	1	0	0	0	2
"55"	1982	"TOYOTA"	"COROLLA"	70	115.300003051758	33.0999984741211	"G"	2310	0	0	0	0	1	0	14.5303058624268	3.49953317642212	7.74500274658203	4.24849510192871	4.74753761291504	18.049711227417	59.9850692749023	22.5391139984131	32.9046058654785	36.7696914672852	20.1698894500732	1	0	0	0	3
"56"	1983	"TOYOTA"	"COROLLA"	70	115.300003051758	40.2999992370605	"G"	2316	0	0	0	0	1	0	14.5595474243164	3.69635152816772	7.74759674072266	4.24849510192871	4.74753761291504	18.049711227417	60.0252571105957	22.5391139984131	32.9156265258789	36.7820053100586	20.1698894500732	1	2.69343829154968	20	17.2000007629395	4
"57"	1984	"TOYOTA"	"COROLLA"	56	103.300003051758	49.5999984741211	"D"	2205	0	0	0	1	1	0	16.6618194580078	3.90399074554443	7.69848299026489	4.02535152435303	4.63763761520386	16.2034549713135	59.2666397094727	21.507682800293	30.9890995025635	35.7027740478516	18.6681213378906	1	0	0	0	5
"58"	1985	"TOYOTA"	"COROLLA"	56	103.300003051758	48.7000007629395	"D"	2205	0	0	0	1	1	0	16.6618194580078	3.88567900657654	7.69848299026489	4.02535152435303	4.63763761520386	16.2034549713135	59.2666397094727	21.507682800293	30.9890995025635	35.7027740478516	18.6681213378906	1	0	0	0	6
"59"	1986	"TOYOTA"	"COROLLA"	74	116.599998474121	39.2999992370605	"G"	2112	0	0	0	0	1	0	12.984034538269	3.67122459411621	7.65539073944092	4.30406522750854	4.75874948501587	18.5249767303467	58.6050071716309	22.6456966400146	32.9493026733398	36.4300880432129	20.4819679260254	1	0	0	0	7
